Company Name [note 30],Site Name,Technology,Type,CHP,Primary Fuel,Secondary Fuel,InstalledCapacity (MW),Grid Connection Type,Country,Region,Postcode,OS Reference,X-Coordinate,Y-Coordinate,Year Commissioned,DESNZ site code,Unnamed: 17,Latitude,Longitude,GSPGroup
Anesco,Pen-Y-Cae,Solar,PV,No,Solar,, 	6.8 ,LV,Wales,Wales,SA183BJ,,260143.0,211806.0,2015.0,SOL-000864,,51.787379896527476,-4.0290807704136355,_K
Anesco,Radcliffe,Solar,PV,No,Solar,, 	4.2 ,LV,England,East Midlands,NG122LT,,463038.0,338202.0,2015.0,SOL-000865,,52.93752206710505,-1.0634978737520338,_B
Anesco,Askern,Solar,PV,No,Solar,, 	5.0 ,LV,England,Yorkshire and the Humber,DN60BZ,,455441.0,413876.0,2015.0,SOL-000877,,53.61850138637661,-1.1633465746802165,_M
Anesco,Lodge Farm ,Solar,PV,No,Solar,, 	4.9 ,LV,England,East Midlands,S445TE,,441566.0,370954.0,2015.0,SOL-000878,,53.234001052416005,-1.3787332755138955,_B
Anesco,Oak Cottage,Solar,PV,No,Solar,, 	4.9 ,LV,Wales,Wales,SA624PR,,202839.0,217801.0,2015.0,SOL-000879,,51.82395089432499,-4.8623426406142265,_K
Anesco,Playters,Solar,PV,No,Solar,, 	8.6 ,LV,England,East of England,NR347TN,,644257.0,287733.0,2015.0,SOL-000880,,52.43295649090934,1.5918092608011898,_A
Anesco,Yarburgh,Solar,PV,No,Solar,, 	8.1 ,LV,England,East Midlands,LN11ONU,,534300.0,391971.0,2015.0,SOL-000882,,53.40747168128826,0.018847827144926638,_M
Anesco,Brookbarn,Solar,PV,No,Solar,, 	3.6 ,LV,England,South East,BN177PE,,500000.0,102000.0,2015.0,SOL-000894,,50.8089325679249,-0.5820825981467952,_H
Anesco,Portworthy,Solar,PV,No,Solar,, 	4.0 ,LV,England,South West,PL75JP,,256878.0,60850.0,2015.0,SOL-000895,,50.43001326351315,-4.016443894949105,_L
Anesco,Shalfleet ,Solar,PV,No,Solar,, 	5.0 ,LV,England,South East,PO410TZ,,440587.0,88605.0,2015.0,SOL-000896,,50.6956813587755,-1.4267164942761346,_H
